Controller,Scope,TotalTrials,PermitCount,PermitRate,DenyCount,DenyRate,DeferCount,DeferRate,SafeCompletedCount,SafeCompletedRate,UnsafeOccurredCount,UnsafeRate
B0,F1-F11,330,330,1.0000,0,0.0000,0,0.0000,30,0.0909,270,0.8182
B0,E1,30,30,1.0000,0,0.0000,0,0.0000,30,1.0000,0,0.0000
B1,F1-F11,330,330,1.0000,0,0.0000,0,0.0000,30,0.0909,300,0.9091
B1,E1,30,30,1.0000,0,0.0000,0,0.0000,30,1.0000,0,0.0000
B2,F1-F11,330,210,0.6364,120,0.3636,0,0.0000,30,0.0909,180,0.5455
B2,E1,30,30,1.0000,0,0.0000,0,0.0000,30,1.0000,0,0.0000
B3,F1-F11,330,264,0.8000,66,0.2000,0,0.0000,24,0.0727,240,0.7273
B3,E1,30,24,0.8000,6,0.2000,0,0.0000,24,0.8000,0,0.0000
B4,F1-F11,330,330,1.0000,0,0.0000,0,0.0000,30,0.0909,300,0.9091
B4,E1,30,30,1.0000,0,0.0000,0,0.0000,30,1.0000,0,0.0000
B5,F1-F11,330,30,0.0909,300,0.9091,0,0.0000,0,0.0000,30,0.0909
B5,E1,30,0,0.0000,30,1.0000,0,0.0000,0,0.0000,0,0.0000
CAC,F1-F11,330,30,0.0909,180,0.5455,300,0.9091,0,0.0000,0,0.0000
CAC,E1,30,30,1.0000,0,0.0000,30,1.0000,30,1.0000,0,0.0000
CAC-NoGuard,F1-F11,330,30,0.0909,180,0.5455,300,0.9091,0,0.0000,30,0.0909
CAC-NoGuard,E1,30,30,1.0000,0,0.0000,30,1.0000,30,1.0000,0,0.0000
CAC-NoRemediation,F1-F11,330,0,0.0000,330,1.0000,300,0.9091,0,0.0000,0,0.0000
CAC-NoRemediation,E1,30,0,0.0000,30,1.0000,30,1.0000,0,0.0000,0,0.0000
CAC-NoAdaptiveOmega,F1-F11,330,0,0.0000,180,0.5455,300,0.9091,0,0.0000,0,0.0000
CAC-NoAdaptiveOmega,E1,30,0,0.0000,0,0.0000,30,1.0000,0,0.0000,0,0.0000
CAC-NoTypedEvidence,F1-F11,330,60,0.1818,150,0.4545,300,0.9091,0,0.0000,30,0.0909
CAC-NoTypedEvidence,E1,30,30,1.0000,0,0.0000,30,1.0000,30,1.0000,0,0.0000
CAC-NoEFD,F1-F11,330,60,0.1818,180,0.5455,270,0.8182,0,0.0000,30,0.0909
CAC-NoEFD,E1,30,30,1.0000,0,0.0000,30,1.0000,30,1.0000,0,0.0000
