Controller,TotalTrials,FailureTrials,UIER_Failure,UIER_CI_Lower,UIER_CI_Upper,SICR_Failure,SICR_CI_Lower,SICR_CI_Upper,UER_Failure,E1_Trials,E1_SICR,E1_UIER,E1_FBR,Mean_TTSR_ms,Mean_Cost_USD,Mean_Overhead_ms
B0,360,330,0.8182,0.773,0.8561,0.0909,0.0644,0.1268,0.8182,30,1,0,0,0,0.001,0.05
B1,360,330,0.9091,0.8732,0.9356,0.0909,0.0644,0.1268,0.9091,30,1,0,0,0,0.002,0.15
B2,360,330,0.5455,0.4915,0.5983,0.0909,0.0644,0.1268,0.5455,30,1,0,0,0.01,0.015,0.7
B3,360,330,0.7273,0.6768,0.7725,0.0727,0.0494,0.1059,0.7273,30,0.8,0,0.2,0,0.03,27.4
B4,360,330,0.9091,0.8732,0.9356,0.0909,0.0644,0.1268,0.9091,30,1,0,0,16.01,0.05,15.2
B5,360,330,0.0909,0.0644,0.1268,0,0,0.0115,0.0909,30,0,0,1,0.05,0.045,1.225
CAC,360,330,0,0,0.0115,0,0,0.0115,0,30,1,0,0,0.41,0.02083,0.326
CAC-NoGuard,360,330,0.0909,0.0644,0.1268,0,0,0.0115,0.0909,30,1,0,0,0.24,0.02083,0.18
CAC-NoRemediation,360,330,0,0,0.0115,0,0,0.0115,0,30,0,0,1,0.04,0.005,0.038
CAC-NoAdaptiveOmega,360,330,0,0,0.0115,0,0,0.0115,0,30,0,0,1,0.23,0.02417,0.188
CAC-NoTypedEvidence,360,330,0.0909,0.0644,0.1268,0,0,0.0115,0.0909,30,1,0,0,0.19,0.02083,0.143
CAC-NoEFD,360,330,0.0909,0.0644,0.1268,0,0,0.0115,0.0909,30,1,0,0,0.15,0.01833,0.111
