disabled,case,n,baseline_misclassified,misclassified,incorrectly_admitted,newly_misclassified
I_lin,all,480,0,144,144,144
I_lin,lineage_binding,24,0,24,24,24
I_lin,scope,24,0,24,24,24
I_lin,receipt_binding,24,0,24,24,24
I_lin,receipt_signature,24,0,24,24,24
I_lin,head_contradiction,24,0,24,24,24
I_lin,head_missing,24,0,24,24,24
I_lin,authority,24,0,0,0,0
I_lin,authority_missing,24,0,0,0,0
I_lin,provenance,24,0,0,0,0
I_lin,provenance_missing,24,0,0,0,0
I_lin,provenance_unavailable,24,0,0,0,0
I_lin,state_application,24,0,0,0,0
I_lin,historical,24,0,0,0,0
I_lin,temporal,24,0,0,0,0
I_lin,belief,24,0,0,0,0
I_lin,relational,24,0,0,0,0
I_lin,normative,24,0,0,0,0
I_lin,attestation_conflict,24,0,0,0,0
I_lin,attestation_missing,24,0,0,0,0
I_lin,attestation_binding,24,0,0,0,0
I_auth,all,480,0,48,48,48
I_auth,lineage_binding,24,0,0,0,0
I_auth,scope,24,0,0,0,0
I_auth,receipt_binding,24,0,0,0,0
I_auth,receipt_signature,24,0,0,0,0
I_auth,head_contradiction,24,0,0,0,0
I_auth,head_missing,24,0,0,0,0
I_auth,authority,24,0,24,24,24
I_auth,authority_missing,24,0,24,24,24
I_auth,provenance,24,0,0,0,0
I_auth,provenance_missing,24,0,0,0,0
I_auth,provenance_unavailable,24,0,0,0,0
I_auth,state_application,24,0,0,0,0
I_auth,historical,24,0,0,0,0
I_auth,temporal,24,0,0,0,0
I_auth,belief,24,0,0,0,0
I_auth,relational,24,0,0,0,0
I_auth,normative,24,0,0,0,0
I_auth,attestation_conflict,24,0,0,0,0
I_auth,attestation_missing,24,0,0,0,0
I_auth,attestation_binding,24,0,0,0,0
I_hist,all,480,0,24,24,24
I_hist,lineage_binding,24,0,0,0,0
I_hist,scope,24,0,0,0,0
I_hist,receipt_binding,24,0,0,0,0
I_hist,receipt_signature,24,0,0,0,0
I_hist,head_contradiction,24,0,0,0,0
I_hist,head_missing,24,0,0,0,0
I_hist,authority,24,0,0,0,0
I_hist,authority_missing,24,0,0,0,0
I_hist,provenance,24,0,0,0,0
I_hist,provenance_missing,24,0,0,0,0
I_hist,provenance_unavailable,24,0,0,0,0
I_hist,state_application,24,0,0,0,0
I_hist,historical,24,0,24,24,24
I_hist,temporal,24,0,0,0,0
I_hist,belief,24,0,0,0,0
I_hist,relational,24,0,0,0,0
I_hist,normative,24,0,0,0,0
I_hist,attestation_conflict,24,0,0,0,0
I_hist,attestation_missing,24,0,0,0,0
I_hist,attestation_binding,24,0,0,0,0
I_temp,all,480,0,24,24,24
I_temp,lineage_binding,24,0,0,0,0
I_temp,scope,24,0,0,0,0
I_temp,receipt_binding,24,0,0,0,0
I_temp,receipt_signature,24,0,0,0,0
I_temp,head_contradiction,24,0,0,0,0
I_temp,head_missing,24,0,0,0,0
I_temp,authority,24,0,0,0,0
I_temp,authority_missing,24,0,0,0,0
I_temp,provenance,24,0,0,0,0
I_temp,provenance_missing,24,0,0,0,0
I_temp,provenance_unavailable,24,0,0,0,0
I_temp,state_application,24,0,0,0,0
I_temp,historical,24,0,0,0,0
I_temp,temporal,24,0,24,24,24
I_temp,belief,24,0,0,0,0
I_temp,relational,24,0,0,0,0
I_temp,normative,24,0,0,0,0
I_temp,attestation_conflict,24,0,0,0,0
I_temp,attestation_missing,24,0,0,0,0
I_temp,attestation_binding,24,0,0,0,0
I_bel,all,480,0,96,96,96
I_bel,lineage_binding,24,0,0,0,0
I_bel,scope,24,0,0,0,0
I_bel,receipt_binding,24,0,0,0,0
I_bel,receipt_signature,24,0,0,0,0
I_bel,head_contradiction,24,0,0,0,0
I_bel,head_missing,24,0,0,0,0
I_bel,authority,24,0,0,0,0
I_bel,authority_missing,24,0,0,0,0
I_bel,provenance,24,0,0,0,0
I_bel,provenance_missing,24,0,0,0,0
I_bel,provenance_unavailable,24,0,0,0,0
I_bel,state_application,24,0,0,0,0
I_bel,historical,24,0,0,0,0
I_bel,temporal,24,0,0,0,0
I_bel,belief,24,0,24,24,24
I_bel,relational,24,0,0,0,0
I_bel,normative,24,0,0,0,0
I_bel,attestation_conflict,24,0,24,24,24
I_bel,attestation_missing,24,0,24,24,24
I_bel,attestation_binding,24,0,24,24,24
I_rel,all,480,0,24,24,24
I_rel,lineage_binding,24,0,0,0,0
I_rel,scope,24,0,0,0,0
I_rel,receipt_binding,24,0,0,0,0
I_rel,receipt_signature,24,0,0,0,0
I_rel,head_contradiction,24,0,0,0,0
I_rel,head_missing,24,0,0,0,0
I_rel,authority,24,0,0,0,0
I_rel,authority_missing,24,0,0,0,0
I_rel,provenance,24,0,0,0,0
I_rel,provenance_missing,24,0,0,0,0
I_rel,provenance_unavailable,24,0,0,0,0
I_rel,state_application,24,0,0,0,0
I_rel,historical,24,0,0,0,0
I_rel,temporal,24,0,0,0,0
I_rel,belief,24,0,0,0,0
I_rel,relational,24,0,24,24,24
I_rel,normative,24,0,0,0,0
I_rel,attestation_conflict,24,0,0,0,0
I_rel,attestation_missing,24,0,0,0,0
I_rel,attestation_binding,24,0,0,0,0
I_norm,all,480,0,24,24,24
I_norm,lineage_binding,24,0,0,0,0
I_norm,scope,24,0,0,0,0
I_norm,receipt_binding,24,0,0,0,0
I_norm,receipt_signature,24,0,0,0,0
I_norm,head_contradiction,24,0,0,0,0
I_norm,head_missing,24,0,0,0,0
I_norm,authority,24,0,0,0,0
I_norm,authority_missing,24,0,0,0,0
I_norm,provenance,24,0,0,0,0
I_norm,provenance_missing,24,0,0,0,0
I_norm,provenance_unavailable,24,0,0,0,0
I_norm,state_application,24,0,0,0,0
I_norm,historical,24,0,0,0,0
I_norm,temporal,24,0,0,0,0
I_norm,belief,24,0,0,0,0
I_norm,relational,24,0,0,0,0
I_norm,normative,24,0,24,24,24
I_norm,attestation_conflict,24,0,0,0,0
I_norm,attestation_missing,24,0,0,0,0
I_norm,attestation_binding,24,0,0,0,0
I_prov,all,480,0,72,72,72
I_prov,lineage_binding,24,0,0,0,0
I_prov,scope,24,0,0,0,0
I_prov,receipt_binding,24,0,0,0,0
I_prov,receipt_signature,24,0,0,0,0
I_prov,head_contradiction,24,0,0,0,0
I_prov,head_missing,24,0,0,0,0
