arm,subset,ground_truth,prediction,count
A,canonical,VALID,VALID,189
A,canonical,VALID,INVALID,51
A,canonical,VALID,INDETERMINATE,0
A,canonical,VALID,UNAVAILABLE,0
A,canonical,INVALID,VALID,144
A,canonical,INVALID,INVALID,96
A,canonical,INVALID,INDETERMINATE,0
A,canonical,INVALID,UNAVAILABLE,0
A,canonical,INDETERMINATE,VALID,96
A,canonical,INDETERMINATE,INVALID,0
A,canonical,INDETERMINATE,INDETERMINATE,0
A,canonical,INDETERMINATE,UNAVAILABLE,0
A,single_fault,VALID,VALID,0
A,single_fault,VALID,INVALID,0
A,single_fault,VALID,INDETERMINATE,0
A,single_fault,VALID,UNAVAILABLE,0
A,single_fault,INVALID,VALID,297
A,single_fault,INVALID,INVALID,39
A,single_fault,INVALID,INDETERMINATE,0
A,single_fault,INVALID,UNAVAILABLE,0
A,single_fault,INDETERMINATE,VALID,144
A,single_fault,INDETERMINATE,INVALID,0
A,single_fault,INDETERMINATE,INDETERMINATE,0
A,single_fault,INDETERMINATE,UNAVAILABLE,0
A,compound_fault,VALID,VALID,0
A,compound_fault,VALID,INVALID,0
A,compound_fault,VALID,INDETERMINATE,0
A,compound_fault,VALID,UNAVAILABLE,0
A,compound_fault,INVALID,VALID,48
A,compound_fault,INVALID,INVALID,48
A,compound_fault,INVALID,INDETERMINATE,0
A,compound_fault,INVALID,UNAVAILABLE,0
A,compound_fault,INDETERMINATE,VALID,0
A,compound_fault,INDETERMINATE,INVALID,0
A,compound_fault,INDETERMINATE,INDETERMINATE,0
A,compound_fault,INDETERMINATE,UNAVAILABLE,0
A,all,VALID,VALID,189
A,all,VALID,INVALID,51
A,all,VALID,INDETERMINATE,0
A,all,VALID,UNAVAILABLE,0
A,all,INVALID,VALID,489
A,all,INVALID,INVALID,183
A,all,INVALID,INDETERMINATE,0
A,all,INVALID,UNAVAILABLE,0
A,all,INDETERMINATE,VALID,240
A,all,INDETERMINATE,INVALID,0
A,all,INDETERMINATE,INDETERMINATE,0
A,all,INDETERMINATE,UNAVAILABLE,0
B,canonical,VALID,VALID,240
B,canonical,VALID,INVALID,0
B,canonical,VALID,INDETERMINATE,0
B,canonical,VALID,UNAVAILABLE,0
B,canonical,INVALID,VALID,240
B,canonical,INVALID,INVALID,0
B,canonical,INVALID,INDETERMINATE,0
B,canonical,INVALID,UNAVAILABLE,0
B,canonical,INDETERMINATE,VALID,96
B,canonical,INDETERMINATE,INVALID,0
B,canonical,INDETERMINATE,INDETERMINATE,0
B,canonical,INDETERMINATE,UNAVAILABLE,0
B,single_fault,VALID,VALID,0
B,single_fault,VALID,INVALID,0
B,single_fault,VALID,INDETERMINATE,0
B,single_fault,VALID,UNAVAILABLE,0
B,single_fault,INVALID,VALID,336
B,single_fault,INVALID,INVALID,0
B,single_fault,INVALID,INDETERMINATE,0
B,single_fault,INVALID,UNAVAILABLE,0
B,single_fault,INDETERMINATE,VALID,144
B,single_fault,INDETERMINATE,INVALID,0
B,single_fault,INDETERMINATE,INDETERMINATE,0
B,single_fault,INDETERMINATE,UNAVAILABLE,0
B,compound_fault,VALID,VALID,0
B,compound_fault,VALID,INVALID,0
B,compound_fault,VALID,INDETERMINATE,0
B,compound_fault,VALID,UNAVAILABLE,0
B,compound_fault,INVALID,VALID,96
B,compound_fault,INVALID,INVALID,0
B,compound_fault,INVALID,INDETERMINATE,0
B,compound_fault,INVALID,UNAVAILABLE,0
B,compound_fault,INDETERMINATE,VALID,0
B,compound_fault,INDETERMINATE,INVALID,0
B,compound_fault,INDETERMINATE,INDETERMINATE,0
B,compound_fault,INDETERMINATE,UNAVAILABLE,0
B,all,VALID,VALID,240
B,all,VALID,INVALID,0
B,all,VALID,INDETERMINATE,0
B,all,VALID,UNAVAILABLE,0
B,all,INVALID,VALID,672
B,all,INVALID,INVALID,0
B,all,INVALID,INDETERMINATE,0
B,all,INVALID,UNAVAILABLE,0
B,all,INDETERMINATE,VALID,240
B,all,INDETERMINATE,INVALID,0
B,all,INDETERMINATE,INDETERMINATE,0
B,all,INDETERMINATE,UNAVAILABLE,0
C,canonical,VALID,VALID,0
C,canonical,VALID,INVALID,0
C,canonical,VALID,INDETERMINATE,0
C,canonical,VALID,UNAVAILABLE,240
C,canonical,INVALID,VALID,0
C,canonical,INVALID,INVALID,0
C,canonical,INVALID,INDETERMINATE,0
C,canonical,INVALID,UNAVAILABLE,240
C,canonical,INDETERMINATE,VALID,0
C,canonical,INDETERMINATE,INVALID,0
C,canonical,INDETERMINATE,INDETERMINATE,0
C,canonical,INDETERMINATE,UNAVAILABLE,96
C,single_fault,VALID,VALID,0
C,single_fault,VALID,INVALID,0
C,single_fault,VALID,INDETERMINATE,0
C,single_fault,VALID,UNAVAILABLE,0
C,single_fault,INVALID,VALID,0
C,single_fault,INVALID,INVALID,0
C,single_fault,INVALID,INDETERMINATE,0
C,single_fault,INVALID,UNAVAILABLE,336
C,single_fault,INDETERMINATE,VALID,0
C,single_fault,INDETERMINATE,INVALID,0
C,single_fault,INDETERMINATE,INDETERMINATE,0
C,single_fault,INDETERMINATE,UNAVAILABLE,144
C,compound_fault,VALID,VALID,0
C,compound_fault,VALID,INVALID,0
C,compound_fault,VALID,INDETERMINATE,0
C,compound_fault,VALID,UNAVAILABLE,0
C,compound_fault,INVALID,VALID,0
C,compound_fault,INVALID,INVALID,0
C,compound_fault,INVALID,INDETERMINATE,0
C,compound_fault,INVALID,UNAVAILABLE,96
C,compound_fault,INDETERMINATE,VALID,0
C,compound_fault,INDETERMINATE,INVALID,0
C,compound_fault,INDETERMINATE,INDETERMINATE,0
C,compound_fault,INDETERMINATE,UNAVAILABLE,0
C,all,VALID,VALID,0
