arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,canonical,D1,24,24,VAR,,0,0,,
A,canonical,D1,24,24,VRR,,0,0,,
A,canonical,D1,24,24,VIR,,0,0,,
A,canonical,D1,24,24,IAR,,0,0,,
A,canonical,D1,24,24,IDR,,0,0,,
A,canonical,D1,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,canonical,D1,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,D1,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,D1,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,D1,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,D2,24,24,VAR,,0,0,,
A,canonical,D2,24,24,VRR,,0,0,,
A,canonical,D2,24,24,VIR,,0,0,,
A,canonical,D2,24,24,IAR,,0,0,,
A,canonical,D2,24,24,IDR,,0,0,,
A,canonical,D2,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,canonical,D2,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,D2,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,D2,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,D2,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,D3,24,24,VAR,,0,0,,
A,canonical,D3,24,24,VRR,,0,0,,
A,canonical,D3,24,24,VIR,,0,0,,
A,canonical,D3,24,24,IAR,,0,0,,
A,canonical,D3,24,24,IDR,,0,0,,
A,canonical,D3,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,canonical,D3,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,D3,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,D3,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,D3,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,D4,24,24,VAR,,0,0,,
A,canonical,D4,24,24,VRR,,0,0,,
A,canonical,D4,24,24,VIR,,0,0,,
A,canonical,D4,24,24,IAR,,0,0,,
A,canonical,D4,24,24,IDR,,0,0,,
A,canonical,D4,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,canonical,D4,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,D4,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,D4,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,D4,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,I1,24,24,VAR,,0,0,,
A,canonical,I1,24,24,VRR,,0,0,,
A,canonical,I1,24,24,VIR,,0,0,,
A,canonical,I1,24,24,IAR,0.0,0,24,0.0,0.0
A,canonical,I1,24,24,IDR,1.0,24,24,1.0,1.0
A,canonical,I1,24,24,IDR_indet,,0,0,,
A,canonical,I1,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I1,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I1,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I1,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,I10,24,24,VAR,,0,0,,
