measurement,unit,count,fixtures,warmups_per_fixture,repetitions_per_fixture,median,p95,p99,mean,std,min,max
proposal_bytes,bytes,135,27,2,5,1343.0,1619.0,1622.0,1335.2962962962963,155.98168061561827,865.0,1622.0
validation_records_bytes,bytes,135,27,2,5,2.0,1705.0,1705.0,159.66666666666666,467.3453132225087,2.0,1705.0
witness_core_bytes,bytes,135,27,2,5,1400.0,2999.0,3083.0,1529.962962962963,484.26621529354844,902.0,3083.0
receipt_bytes,bytes,135,27,2,5,654.0,654.0,654.0,654.0,0.0,654.0,654.0
total_witness_bytes,bytes,135,27,2,5,2115.0,3714.0,3798.0,2244.962962962963,484.26621529354844,1617.0,3798.0
canonicalization_ns,ns,135,27,2,5,67709.0,133208.1,136461.28,73229.33333333333,19581.20541202864,41083.0,141958.0
digest_ns,ns,135,27,2,5,1000.0,1470.6,1569.06,1017.2222222222222,172.30096311555332,708.0,1666.0
signature_verification_ns,ns,135,27,2,5,445667.0,1022625.0,1080187.1199999999,484908.94814814813,161293.89191608463,293541.0,1095125.0
signature_verification_count,count,135,27,2,5,3.0,7.0,7.0,3.259259259259259,1.0787151212808892,2.0,7.0
total_cct_ns,ns,135,27,2,5,2253917.0,3165345.6999999997,3276869.4999999995,2303350.592592593,278383.48115242354,1955958.0,3354667.0
stage_1_lineage_ns,ns,135,27,2,5,804333.0,867845.4,873544.28,801545.9703703703,52890.841862504785,555875.0,883500.0
stage_2_authority_ns,ns,135,27,2,5,401625.0,428600.1,444285.84,395306.13333333336,41479.78209685998,198125.0,452667.0
stage_3_provenance_ns,ns,135,27,2,5,13625.0,18704.3,56763.12,14633.274074074074,8919.983033607476,1083.0,57375.0
stage_4_state_application_ns,ns,135,27,2,5,559250.0,618633.1,630464.78,560877.4814814815,31468.534261938603,493125.0,661250.0
stage_5_semantics_ns,ns,135,27,2,5,109584.0,993704.5,1057730.7199999997,174274.66666666666,240700.56248373224,40209.0,1103625.0
