case_id,mutations,dependencies,attestations,chronicle,beliefs,relationships,semantic_mode,expected_result,expected_signature_count,quorum,witness_bytes,proposal_bytes,core_bytes,validation_records_bytes,receipt_bytes,predecessor_bytes,candidate_bytes,context_bytes,groups,complexity_m_plus_d_plus_a,count,median,p95,p99
m1-d0-a0-h16-b16-r16-native,1,0,0,16,16,16,native,VALID,2,1,1407,691,728,2,618,12976,12976,2829,mutations;dependencies;attestations;chronicle;beliefs;relationships;complexity;size_grid;semantic_comparison,1,300,6210312.5,6351914.25,6439393.25
m4-d0-a0-h16-b16-r16-native,4,0,0,16,16,16,native,VALID,2,1,1872,1156,1193,2,618,12976,12976,2829,mutations,4,300,6312146.0,6575107.7,7476978.749999995
m16-d0-a0-h16-b16-r16-native,16,0,0,16,16,16,native,VALID,2,1,3732,3016,3053,2,618,12976,12976,2829,mutations,16,300,6638604.5,6778166.35,10032568.74999998
m64-d0-a0-h16-b16-r16-native,64,0,0,16,16,16,native,VALID,2,1,11172,10456,10493,2,618,12976,12976,2829,mutations,64,300,7841500.0,8009554.45,8087202.83
m256-d0-a0-h16-b16-r16-native,256,0,0,16,16,16,native,VALID,2,1,40932,40216,40253,2,618,12976,12976,2829,mutations,256,300,12965125.0,13227239.6,33689451.579999976
m1-d4-a0-h16-b16-r16-native,1,4,0,16,16,16,native,VALID,2,1,2081,1365,1402,2,618,12976,12976,3528,dependencies;size_grid,5,300,6394354.0,6630084.0,6855410.499999999
m1-d16-a0-h16-b16-r16-native,1,16,0,16,16,16,native,VALID,2,1,4109,3393,3430,2,618,12976,12976,5628,dependencies;size_grid,17,300,6789249.5,6952970.2,7724658.3299999805
m1-d64-a0-h16-b16-r16-native,1,64,0,16,16,16,native,VALID,2,1,12221,11505,11542,2,618,12976,12976,14028,dependencies;size_grid,65,300,8395250.0,8589901.75,13831325.089999938
m1-d256-a0-h16-b16-r16-native,1,256,0,16,16,16,native,VALID,2,1,44669,43953,43990,2,618,12976,12976,47628,dependencies;size_grid,257,300,14792520.5,15087416.7,15274387.49999999
m1-d0-a1-h16-b16-r16-I_bel,1,0,1,16,16,16,I_bel,VALID,3,1,1824,691,1145,419,618,12976,12976,3072,attestations;size_grid,2,300,6392896.0,6511995.85,6576923.75
m1-d0-a3-h16-b16-r16-I_bel,1,0,3,16,16,16,I_bel,VALID,5,1,2660,691,1981,1255,618,12976,12976,3558,attestations;size_grid,4,300,6855187.5,7023182.7,7303571.579999961
m1-d0-a5-h16-b16-r16-I_bel,1,0,5,16,16,16,I_bel,VALID,7,1,3496,691,2817,2091,618,12976,12976,4044,attestations;size_grid,6,300,7299917.0,7460999.7,7565101.5799999675
m1-d0-a10-h16-b16-r16-I_bel,1,0,10,16,16,16,I_bel,VALID,12,1,5586,691,4907,4181,618,12976,12976,5259,attestations;size_grid,11,300,8370958.5,8707412.5,9446923.839999994
m1-d0-a32-h16-b16-r16-I_bel,1,0,32,16,16,16,I_bel,VALID,34,1,14782,691,14103,13377,618,12976,12976,10605,attestations;size_grid,33,300,13223708.5,13887722.95,14605752.739999998
m1-d0-a0-h0-b16-r16-native,1,0,0,0,16,16,native,VALID,2,1,1407,691,728,2,618,6561,6561,2829,chronicle,1,300,3690208.0,3778728.85,3827953.84
m1-d0-a0-h64-b16-r16-native,1,0,0,64,16,16,native,VALID,2,1,1407,691,728,2,618,32224,32224,2829,chronicle,1,300,13872188.0,15133120.500000002,35540689.40999998
m1-d0-a0-h256-b16-r16-native,1,0,0,256,16,16,native,VALID,2,1,1407,691,728,2,618,109216,109216,2829,chronicle,1,300,45453063.0,66953143.75000001,74135369.08
m1-d0-a0-h1024-b16-r16-native,1,0,0,1024,16,16,native,VALID,2,1,1407,691,728,2,618,417184,417184,2829,chronicle,1,300,212796354.0,220127691.35000002,243929850.24
m1-d0-a0-h16-b0-r16-native,1,0,0,16,0,16,native,VALID,2,1,1407,691,728,2,618,10433,10433,2829,beliefs,1,300,4874416.5,5059239.55,7582598.749999983
m1-d0-a0-h16-b64-r16-native,1,0,0,16,64,16,native,VALID,2,1,1407,691,728,2,618,20608,20608,2829,beliefs,1,300,10369021.0,10547227.1,15813094.169999918
m1-d0-a0-h16-b256-r16-native,1,0,0,16,256,16,native,VALID,2,1,1407,691,728,2,618,51136,51136,2829,beliefs,1,300,26787500.0,33915131.55000001,51300648.839999996
m1-d0-a0-h16-b1024-r16-native,1,0,0,16,1024,16,native,VALID,2,1,1407,691,728,2,618,173248,173248,2829,beliefs,1,300,115376791.5,119359806.25,120866210.49999993
m1-d0-a0-h16-b16-r0-native,1,0,0,16,16,0,native,VALID,2,1,1407,691,728,2,618,10545,10545,2829,relationships,1,300,5141145.5,7065081.900000005,9648449.909999955
m1-d0-a0-h16-b16-r64-native,1,0,0,16,16,64,native,VALID,2,1,1407,691,728,2,618,20272,20272,2829,relationships,1,300,9654770.5,9856755.9,11362861.66999981
