case_id,metric,unit,count,median,p95,p99,min,max
m1-d0-a0-h0-b16-r16-native,authority_check_ns,ns,300,189875.0,199174.35,204792.07999999996,186166,215750
m1-d0-a0-h0-b16-r16-native,core_digest_ns,ns,300,44708.0,49173.25,54167.26,41500,62375
m1-d0-a0-h0-b16-r16-native,effective_I_bel_ns,ns,300,44375.0,46671.15,51210.09,43042,55625
m1-d0-a0-h0-b16-r16-native,effective_I_hist_ns,ns,300,875.0,1083.0,1250.8399999999992,583,1541
m1-d0-a0-h0-b16-r16-native,effective_I_norm_ns,ns,300,24917.0,26425.300000000003,32130.419999999995,22875,43417
m1-d0-a0-h0-b16-r16-native,effective_I_rel_ns,ns,300,19500.0,20291.0,24380.409999999996,18084,29334
m1-d0-a0-h0-b16-r16-native,effective_I_temp_ns,ns,300,1458.0,1750.0,2125.41,917,2583
m1-d0-a0-h0-b16-r16-native,native_I_bel_ns,ns,300,44375.0,46671.15,51210.09,43042,55625
m1-d0-a0-h0-b16-r16-native,native_I_hist_ns,ns,300,875.0,1083.0,1250.8399999999992,583,1541
m1-d0-a0-h0-b16-r16-native,native_I_norm_ns,ns,300,24917.0,26425.300000000003,32130.419999999995,22875,43417
m1-d0-a0-h0-b16-r16-native,native_I_rel_ns,ns,300,19500.0,20291.0,24380.409999999996,18084,29334
m1-d0-a0-h0-b16-r16-native,native_I_temp_ns,ns,300,1458.0,1750.0,2125.41,917,2583
m1-d0-a0-h0-b16-r16-native,proposal_digest_ns,ns,300,41084.0,43635.450000000004,47377.08,38542,51958
m1-d0-a0-h0-b16-r16-native,provenance_check_ns,ns,300,1500.0,1833.0,2166.4199999999996,959,7459
m1-d0-a0-h0-b16-r16-native,receipt_signature_check_ns,ns,300,164166.5,170968.4,175352.58,162000,177708
m1-d0-a0-h0-b16-r16-native,signature_primitive_ns,ns,600,149333.5,155966.35,163960.5,148000,173000
m1-d0-a0-h0-b16-r16-native,signature_primitive_sum_ns,ns,300,298771.0,309653.25,318906.67,296291,325416
m1-d0-a0-h0-b16-r16-native,stage_1_lineage_ns,ns,300,1381333.0,1425027.7,1447663.8399999999,1355416,1461416
m1-d0-a0-h0-b16-r16-native,stage_2_authority_ns,ns,300,191583.0,203768.75,209147.08,189542,213458
m1-d0-a0-h0-b16-r16-native,stage_3_provenance_ns,ns,300,2500.0,2917.0,3292.829999999999,2291,3459
m1-d0-a0-h0-b16-r16-native,stage_4_state_application_ns,ns,300,1241645.5,1291187.1500000001,1338640.0899999999,1215042,1479625
m1-d0-a0-h0-b16-r16-native,stage_5_semantics_ns,ns,300,97500.0,103224.65000000001,112246.90999999996,95292,119208
m1-d0-a0-h0-b16-r16-native,state_application_ns,ns,300,486729.0,521333.65,540153.4199999999,477083,617459
m1-d0-a0-h0-b16-r16-native,state_hash_candidate_ns,ns,300,374270.5,392313.95,419781.67,366250,430125
m1-d0-a0-h0-b16-r16-native,state_hash_predecessor_ns,ns,300,374229.0,391460.1,404089.67,366292,425125
m1-d0-a0-h0-b16-r16-native,total_cct_ns,ns,300,3690208.0,3778728.85,3827953.84,3617000,3992583
m1-d0-a0-h0-b16-r16-native,total_process_cpu_ns,ns,300,3691000.0,3776050.0,3824259.9999999995,3618000,3956000
m1-d0-a0-h1024-b1024-r1024-native,authority_check_ns,ns,300,239083.5,286925.0,352327.4099999995,190292,458625
m1-d0-a0-h1024-b1024-r1024-native,core_digest_ns,ns,300,58646.0,95256.25,114187.9099999996,44833,536042
m1-d0-a0-h1024-b1024-r1024-native,effective_I_bel_ns,ns,300,2756937.5,2868499.7,3045003.6599999997,2661666,4633916
m1-d0-a0-h1024-b1024-r1024-native,effective_I_hist_ns,ns,300,26731125.0,49380545.550000004,54565509.5,26106416,74004250
m1-d0-a0-h1024-b1024-r1024-native,effective_I_norm_ns,ns,300,32437.5,60581.55000000001,83198.24999999997,23542,279083
m1-d0-a0-h1024-b1024-r1024-native,effective_I_rel_ns,ns,300,1160125.0,1211922.9,1508270.4199999995,1126875,2571417
m1-d0-a0-h1024-b1024-r1024-native,effective_I_temp_ns,ns,300,19905416.5,21516548.25,21829892.829999987,17810750,35471125
m1-d0-a0-h1024-b1024-r1024-native,native_I_bel_ns,ns,300,2756937.5,2868499.7,3045003.6599999997,2661666,4633916
m1-d0-a0-h1024-b1024-r1024-native,native_I_hist_ns,ns,300,26731125.0,49380545.550000004,54565509.5,26106416,74004250
m1-d0-a0-h1024-b1024-r1024-native,native_I_norm_ns,ns,300,32437.5,60581.55000000001,83198.24999999997,23542,279083
m1-d0-a0-h1024-b1024-r1024-native,native_I_rel_ns,ns,300,1160125.0,1211922.9,1508270.4199999995,1126875,2571417
m1-d0-a0-h1024-b1024-r1024-native,native_I_temp_ns,ns,300,19905416.5,21516548.25,21829892.829999987,17810750,35471125
m1-d0-a0-h1024-b1024-r1024-native,proposal_digest_ns,ns,300,57687.5,86939.90000000001,119835.17999999985,39583,207000
m1-d0-a0-h1024-b1024-r1024-native,provenance_check_ns,ns,300,4500.0,7676.450000000003,11092.329999999993,1250,35834
m1-d0-a0-h1024-b1024-r1024-native,receipt_signature_check_ns,ns,300,197062.5,232168.1,287107.32999999996,162958,513791
m1-d0-a0-h1024-b1024-r1024-native,signature_primitive_ns,ns,600,163229.5,172814.89999999997,184756.25,154958,284583
m1-d0-a0-h1024-b1024-r1024-native,signature_primitive_sum_ns,ns,300,326167.0,345683.35000000003,363477.82999999984,313459,448916
m1-d0-a0-h1024-b1024-r1024-native,stage_1_lineage_ns,ns,300,132342771.0,138940139.55,151670393.24999994,106514875,163119500
m1-d0-a0-h1024-b1024-r1024-native,stage_2_authority_ns,ns,300,244625.0,286085.4,351170.83999999985,208583,393500
m1-d0-a0-h1024-b1024-r1024-native,stage_3_provenance_ns,ns,300,4750.0,5506.250000000002,6544.759999999997,4083,7584
m1-d0-a0-h1024-b1024-r1024-native,stage_4_state_application_ns,ns,300,143598104.5,166186435.45,170703970.84,139035833,197123208
